Mã số sinh viên;Họ;Tên;Lớp;Điểm
N23DCCN001;Nguyễn Văn;A;D23CQCN03-N;10
N23DCCN002;Nguyễn Văn;B;D23CQCN01-N;10
N23DCCN003;Mô Ha Mách Bu Ba;Ka;D23CQCN03-N;10
N23DCCN004;Nguyễn Văn;Tùng;D23CQCN02-N;5
N23DCCN005;Trần Văn;Tân;D23CQCN01-N;5.5
N23DCCN006;Tô Hoàng;Phi;D23CQCN03-N;10
N23DCCN008;Nguyễn Văn;Tân;D23CQCN03-N;5
N23DCCN009;Nguyễn Hữu;Đạt;D23CQQT01-N;7.5
N23DCCN010;Lương Văn;Hân;D23CQDT01-N;3.75
N23DCCN011;Võ Thị;Mai;D23CQCN01-N;9
N23DCCN012;Lê Hoàng;Tú;D23CQCN03-N;6
N23DCCN013;Đinh Công;Minh;D23CQCN02-N;4.5
N23DCCN014;Bùi Ngọc;Thái;D23CQQT01-N;7
N23DCCN015;Phan Văn;Cường;D23CQCN01-N;8
N23DCCN016;Trịnh Thị;Yến;D23CQCN03-N;9.25
N23DCCN017;Lâm Hữu;Nghĩa;D23CQCN02-N;6.75
N23DCCN018;Ngô Văn;Khang;D23CQDT01-N;5.5
N23DCCN019;Hoàng Thị;Bích;D23CQQT01-N;10
N23DCCN020;Đào Minh;Nhật;D23CQCN03-N;3
N23DCCN021;Nguyễn Thị;Linh;D23CQCN01-N;6.5
N23DCCN022;Trần Hữu;Tài;D23CQCN02-N;7.25
N23DCCN023;Phạm Văn;Phúc;D23CQCN03-N;9
N23DCCN024;Lê Thị;Hồng;D23CQQT01-N;8
N23DCCN025;Đinh Văn;Hòa;D23CQDT01-N;4.75
N23DCCN026;Vũ Ngọc;Bảo;D23CQCN02-N;5
N23DCCN027;Ngô Thị;Quỳnh;D23CQCN01-N;10
N23DCCN028;Đặng Hoàng;Nam;D23CQCN03-N;3
N23DCCN029;Trịnh Văn;Khải;D23CQQT01-N;6
N23DCCN030;Hoàng Thị;Thảo;D23CQCN02-N;8.5
N23DCCN031;Đoàn Minh;Phương;D23CQCN01-N;7.75
N23DCCN032;Lý Quốc;Hưng;D23CQDT01-N;6.5
N23DCCN033;Tăng Thị;Như;D23CQQT01-N;9.5
N23DCCN034;Đoàn Văn;Tiến;D23CQCN03-N;4
N23DCCN035;Lương Thị;Hà;D23CQCN02-N;5.25
N23DCCN036;Nguyễn Thanh;Long;D23CQCN01-N;6
N23DCCN037;Trần Quốc;Tuấn;D23CQDT01-N;7.5
N23DCCN038;Phạm Thị;Bích;D23CQCN03-N;8
N23DCCN039;Đỗ Hữu;Phát;D23CQQT01-N;4.5
N23DCCN040;Vũ Thị;Trang;D23CQCN02-N;9.75
N23DCCN041;Nguyễn Văn;Hiếu;D23CQCN01-N;6.75
N23DCCN042;Trần Thị;Thanh;D23CQCN02-N;8
N23DCCN043;Phạm Hồng;Sơn;D23CQCN03-N;7.5
N23DCCN044;Lê Văn;Thịnh;D23CQDT01-N;5.25
N23DCCN045;Vũ Thị;Ngọc;D23CQQT01-N;9.25
N23DCCN046;Đinh Hoàng;Minh;D23CQCN01-N;4
N23DCCN047;Ngô Văn;Lực;D23CQCN02-N;6.25
N23DCCN048;Bùi Thị;Trâm;D23CQCN03-N;10
N23DCCN049;Lương Gia;Huy;D23CQDT01-N;7.75
N23DCCN050;Đoàn Thị;Mỹ;D23CQQT01-N;5
N23DCCN051;Hoàng Văn;Công;D23CQCN01-N;6.5
N23DCCN052;Tô Thị;Lan;D23CQCN02-N;9
N23DCCN053;Nguyễn Hoàng;Phát;D23CQCN03-N;4.25
N23DCCN054;Trần Văn;Quý;D23CQDT01-N;8.5
N23DCCN055;Phan Thị;Hằng;D23CQQT01-N;7
N23DCCN056;Lê Trung;Kiên;D23CQCN01-N;3.5
N23DCCN057;Đặng Thị;Dung;D23CQCN02-N;6
N23DCCN058;Võ Văn;Khôi;D23CQCN03-N;9.75
N23DCCN059;Nguyễn Thị;Thúy;D23CQDT01-N;5.75
N23DCCN060;Trịnh Minh;Hoàng;D23CQQT01-N;8.25
N23DCCN061;Lý Văn;Phong;D23CQCN01-N;7.25
N23DCCN062;Nguyễn Thị;Mai;D23CQCN02-N;6.5
N23DCCN063;Phạm Văn;Toản;D23CQCN03-N;5
N23DCCN064;Đỗ Thị;Thanh;D23CQDT01-N;8.75
N23DCCN065;Vũ Minh;Trí;D23CQQT01-N;9
N23DCCN066;Trần Quốc;Anh;D23CQCN01-N;4.75
N23DCCN067;Bùi Thị;Oanh;D23CQCN02-N;6.25
N23DCCN068;Lê Hữu;Tín;D23CQCN03-N;10
N23DCCN069;Đinh Thị;Lệ;D23CQDT01-N;7.5
N23DCCN070;Ngô Quang;Minh;D23CQQT01-N;5.25
N23DCCN071;Tăng Minh;Nhật;D23CQCN01-N;8.5
N23DCCN072;Hoàng Thị;Thu;D23CQCN02-N;6.75
N23DCCN073;Nguyễn Văn;Tiến;D23CQCN03-N;4.25
N23DCCN074;Phan Văn;Lâm;D23CQDT01-N;7
